id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,1074004498,20251001,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,1,1074006893,20220101,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,7,1074006889,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
4,7,1074006890,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
5,7,1074006891,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
6,2,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
7,8,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
8,8,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
9,8,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
10,8,1074006892,20220101,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
11,7,1074006892,20220101,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
12,2,1074006892,20220101,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
13,1,1074006892,20220101,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
14,3,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
15,3,1074006892,20220101,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
16,4,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,5,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,6,1074006892,20220101,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
