id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4654405418249632,,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,4580251236515201,,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,4,4354495077693036,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
4,5,4515551623735607,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
5,6,4844518708741275,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
6,7,4203696133194408,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
7,8,4801647818676136,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
8,9,4540842003561938,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
9,10,4140149827486249,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
10,11,4923661117104166,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
11,12,4800749911485986,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
12,12,4017503416578382,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
13,12,4536896898764278,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
14,13,4411510861233607,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
15,13,4869639160798434,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
16,15,4738848761455352,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,16,4763141973880496,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,17,4214497729954420,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,18,4436110257010678,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,19,4332881798016631,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,20,4886443388914010,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,21,4252153331154380,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,22,4822758023695469,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
24,23,4090452560541880,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
25,24,4173081602435789,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
26,25,4920121630073678,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
27,26,4740912293014834,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
28,27,4972246905754900,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
29,28,4520868595580154,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
30,29,4084466070588807,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
31,30,4094113568951317,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
32,31,4993984512460266,,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
33,31,4010777937348342,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
34,32,4518516684961580,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
35,33,4504301557459341,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
36,34,4256260709684496,,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
37,34,4989273128387579,,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
38,34,4908527734585074,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
39,35,4045997732436379,,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
40,35,4927528310772822,,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
41,36,4891574812508884,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
42,37,4116440102474885,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
43,38,4530250293393172,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
44,39,4194820468895520,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
45,40,4873385959393372,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
46,41,4993600931344374,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
47,42,4950995269436891,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
48,43,4844630850252637,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
49,44,4211069197597149,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
50,45,4232569591693416,,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
51,46,4517971266291387,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
52,47,4168937506187803,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
53,48,4997358230473627,,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
54,48,4777856041170635,,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
55,49,4795148490538729,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
56,50,4956826428191745,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
57,51,4183072693169681,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
58,52,4218657028205587,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
59,53,4933369324075499,,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
60,53,4441404173505639,,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
61,53,4537254125013016,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
62,54,4749930716724338,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
63,55,4105038329589499,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
64,56,4919390595537008,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
65,57,4353135619718239,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
66,58,4529651999876573,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
67,59,4219320645843480,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
68,60,4081662560364296,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
69,61,4970667050854607,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
70,62,4619319026026690,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
71,63,4611648633799933,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
72,64,4446079647035368,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
73,65,4875288120309071,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
74,66,4908928765785434,,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
75,67,4714709625561832,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
76,68,4258522058538341,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
77,69,4484683114508099,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
78,70,4276899312523315,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
79,71,4940325254655110,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
80,72,4280610195007138,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
81,73,4085581454976336,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
82,74,4414479617134463,,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
83,75,4884897916101675,,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
84,75,4388804296796106,,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
85,76,4788054737027048,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
86,77,4214203290927124,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
87,78,4552397311615042,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
88,79,4677500284013182,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
89,80,4492281584660677,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
90,81,4864635690515191,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
91,82,4246133152618861,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
92,83,4167344953299831,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
93,84,4907431908846707,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
94,85,4093411327647062,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
95,86,4769803305040083,,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
96,87,4076637008407410,,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
97,88,4333461127432331,,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
98,89,4388238767124153,,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
99,90,4201682490510536,,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
100,91,4448585774977363,,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
